职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
高级Android（鸿蒙）开发工程师,深圳南天东华科技有限公司,15k-30k,[深圳·福田区],经验3-5年 , 本科,其他 ,网络通信,"“五险一金,定期体检,团队氛围好”"
汽车新媒体运营（鸿蒙智行用户中心锦江大道店）,四川恒为智行汽车销售服务有限公司,6k-10k,[成都·锦江区],经验1-3年 , 大专,网络通信 ,暂无,"“专业培训,餐饮补贴,节日福利”"
智能识别测试工程师 (MJ001275),百融云创,15k-30k,[北京·望京],经验不限 , 不限,"科技金融,人工智能服务 ",人工智能服务KYC科技金融人脸识别计算机/软件工程相关专业,“上市公司”
高级Java开发工程师（视觉识别与自动化仓储方向）,银翼医疗,22k-28k,[上海·普陀区],经验3-5年 , 本科,其他 ,内容社区电商平台,"“五险一金,绩效奖金,定期体检”"
视觉检测跟踪识别算法工程师,深圳市超准视觉科技有限公司,30k-60k,[深圳·宝安区],经验1-3年 , 硕士,"电商平台,内容社区 ",内容社区电商平台,"“定期体检,方案,员工聚餐”"
珠宝图像识别算法工程师,深圳市瑞麒珠宝首饰有限公司,15k-25k,[深圳·罗湖区],经验1-3年 , 本科,"电商平台,内容社区 ",医疗｜保健｜美容,“五险一金”
图像识别算法工程师,红迅软件,10k-20k,[广州·海珠区],经验3-5年 , 本科,医疗,C++计算机视觉遥感MATLAB深度学习经验,"“五险一金,绩效奖金,方案”"
雷达信号处理设计师（目标检测和识别方向）,森锐科技,20k-25k,[广州·黄埔区],经验3-5年 , 硕士,IT技术服务,人工智能服务OpenCV在线医疗,"“五险一金,绩效奖金,方案”"
雷达信号处理设计师（目标检测和识别方向）,森锐科技,20k-25k,[西安·长安区],经验3-5年 , 硕士,"医疗丨健康,硬件 ",人工智能服务性能测试功能测试,"“五险一金,绩效奖金,定期体检”"
新媒体数据识别分析工程师,浙江万晟药业有限公司,15k-20k,[杭州·余杭区],暂无,暂无,"数据服务,房产家居 ",软件服务｜咨询语音｜音频处理C++人工智能服务自然语言处理,“发展前景佳、团队实力强、老板nice”
动目标识别算法工程师,千辰空间,10k-20k,[武汉·珞珈山],经验1-3年 , 硕士,移动互联网 ,语音｜音频处理人工智能服务翻译工具类产品业务导向,“CV/深度学习研发，目标检测跟踪经验优先”
算法研发岗（OCR文档识别）(J47941),京东方BOE,35k-50k,[深圳·南山区],经验5-10年 , 硕士,"教育,文娱丨内容 ",科研,"“五险一金,免费班车,定期体检”"
Python开发工程师（OCR识别后处理方向）,颐邦科技,15k-25k,[北京·西三旗],经验1-3年 , 本科,"在线教育,专业服务",暂无,“清华团队”
语音识别算法工程师(J10838),云知声,25k-50k,[上海·虹梅路],经验3-5年 , 硕士,物联网 ,C++人工智能服务C语言语音唤醒,“AI行业独角兽”
语音识别算法工程师,睿云联,20k-30k,[厦门·思明区],经验5-10年 , 硕士,智能硬件 ,语音｜音频处理智能硬件,“股权激励”
